,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
"1100 EMMET ST N, Charlottesville, VA",38.051498,-78.5002,1,range_interpolation,1100,Emmet St N,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"500 E WATER ST, Charlottesville, VA",38.028931,-78.478864,1,range_interpolation,500,Water St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,5th St SW,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"200 E MAIN ST, Charlottesville, VA",38.030391,-78.480746,1,range_interpolation,200,E Main St,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"2200 FONTAINE AVE, Charlottesville, VA",38.026076,-78.515987,1,range_interpolation,2200,Fontaine Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"100 MADISON LN, Charlottesville, VA",38.036242,-78.502401,1,range_interpolation,100,Madison Ln,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"800 VILLAGE RD, Charlottesville, VA",38.018148,-78.500862,1,rooftop,800,Village Rd,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,5th St SW,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"100 GOODMAN ST, Charlottesville, VA",38.027592,-78.474548,1,range_interpolation,100,Goodman St,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,5th St SW,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1100 MILLMONT ST, Charlottesville, VA",38.052642,-78.502484,1,range_interpolation,1100,Millmont St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"2200 BANBURY ST, Charlottesville, VA",38.060465,-78.468976,1,rooftop,2200,Banbury St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"1400 MELBOURNE RD, Charlottesville, VA",38.052489,-78.475702,1,rooftop,1400,Melbourne Rd,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"NA 7 1/2 ST SW / CHERRY AVE, Charlottesville, VA",38.028244,-78.4925,1,intersection,,7 1/2 St SW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"700 PROSPECT AVE, Charlottesville, VA",38.024646,-78.494399,1,rooftop,700,Prospect Ave,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"NA W MAIN ST / JEFFERSON PARK AVE, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 BAILEY RD, Charlottesville, VA",38.020423,-78.495631,1,rooftop,600,Bailey Rd,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"900 1ST ST S, Charlottesville, VA",38.022908,-78.485672,1,rooftop,900,1st St S,,,Charlottesville,VA,Albemarle County,22902,US,Virginia Geographic Information Network (VGIN)
"1200 HOLMES AVE, Charlottesville, VA",38.045976,-78.460828,1,rooftop,1200,Holmes Ave,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"2100 ANGUS RD, Charlottesville, VA",38.059171,-78.494844,1,rooftop,2100,Angus Rd,,,Charlottesville,VA,Albemarle County,22901,US,Virginia Geographic Information Network (VGIN)
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"2300 FONTAINE AVE, Charlottesville, VA",38.025595,-78.516645,1,rooftop,2300,Fontaine Ave,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"700 WALKER SQ, Charlottesville, VA",38.030203,-78.491156,1,rooftop,700,Walker Sq,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"1300 WERTLAND ST, Charlottesville, VA",38.034284,-78.498138,1,rooftop,1300,Wertland St,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"300 E MAIN ST, Charlottesville, VA",38.029931,-78.48003,1,rooftop,300,E Main St,,,Charlottesville,VA,Albemarle County,22902,US,Virginia Geographic Information Network (VGIN)
"1100 MONTROSE AVE, Charlottesville, VA",38.018864,-78.474503,1,rooftop,1100,Montrose Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"100 14TH ST NW, Charlottesville, VA",38.034122,-78.499326,1,rooftop,100,14th St NW,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"NA GARRETT ST / 2ND ST SE, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"100 CARLTON RD, Charlottesville, VA",38.026723,-78.468572,1,rooftop,100,Carlton Rd,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"600 PRESTON AVE, Charlottesville, VA",38.034938,-78.486011,1,rooftop,600,Preston Ave,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"300 W MAIN ST, Charlottesville, VA",38.030167,-78.485534,1,rooftop,300,W Main St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"NA BARRACKS RD / MILLMONT ST, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"200 MONTICELLO AVE, Charlottesville, VA",38.028539,-78.486048,1,range_interpolation,200,Monticello Ave,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 MARKET ST, Charlottesville, VA",38.030267,-78.477549,0.8,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"300 10 1/2 ST NW, Charlottesville, VA",38.035412,-78.494329,1,range_interpolation,300,10 1/2 St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1600 MADISON AVE, Charlottesville, VA",38.04177,-78.486691,1,range_interpolation,1600,Madison Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1000 ROSE HILL DR, Charlottesville, VA",38.040322,-78.484624,1,rooftop,1000,Rose Hill Dr,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"100 2ND ST SW, Charlottesville, VA",38.031193,-78.482244,1,range_interpolation,100,2nd St SW,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1600 JEFFERSON PARK AVE, Charlottesville, VA",38.03177,-78.507397,1,rooftop,1600,Jefferson Park Ave,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"900 WEST ST, Charlottesville, VA",38.036175,-78.48995,1,range_interpolation,900,West St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"100 LANKFORD AVE, Charlottesville, VA",38.021191,-78.487098,1,rooftop,100,Lankford Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"400 4TH ST NW, Charlottesville, VA",38.033577,-78.485453,1,range_interpolation,400,4th St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"400 11TH ST NE, Charlottesville, VA",38.030534,-78.470865,1,range_interpolation,400,11th St NE,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1000 CHERRY AVE, Charlottesville, VA",38.026722,-78.497519,1,rooftop,1000,Cherry Ave,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"800 MAIN ST, Charlottesville, VA",38.031848,-78.490814,0.9,range_interpolation,800,W Main St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1200 GRADY AVE, Charlottesville, VA",38.039578,-78.494309,1,range_interpolation,1200,Grady Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"100 GREENWICH CT, Charlottesville, VA",38.018817,-78.470265,1,rooftop,100,Greenwich Ct,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"500 VALLEY RD, Charlottesville, VA",38.030818,-78.505016,1,rooftop,500,Valley Rd,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"200 250 BYPASS, Charlottesville, VA",38.026588,-78.48045,0.33,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"100 MAIN ST, Charlottesville, VA",38.030363,-78.481565,0.9,rooftop,100,E Main St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"1000 5TH ST SW, Charlottesville, VA",38.020689,-78.494558,1,range_interpolation,1000,State Rte 631,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1500 AVON STREET EXT, Charlottesville, VA",38.012506,-78.488447,0.75,nearest_rooftop_match,1536,Avon Street Ext,,,Charlottesville,VA,Albemarle County,22902,US,Albemarle
"1600 HARDWOOD AVE, Charlottesville, VA",38.043767,-78.487016,1,range_interpolation,1600,Hardwood Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"500 17TH ST NW, Charlottesville, VA",38.04023,-78.499922,1,range_interpolation,500,17th St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"NA GILDERSLEEVE WOOD, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"100 E MAIN ST, Charlottesville, VA",38.030363,-78.481565,1,rooftop,100,E Main St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"1200 EMMET ST, Charlottesville, VA",38.052819,-78.498406,0.9,rooftop,1200,Emmet St N,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"500 17TH ST NW, Charlottesville, VA",38.04023,-78.499922,1,range_interpolation,500,17th St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"700 LEXINGTON AVE, Charlottesville, VA",38.034853,-78.471089,1,rooftop,700,Lexington Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"1100 E JEFFERSON ST, Charlottesville, VA",38.029122,-78.471334,1,rooftop,1100,E Jefferson St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"2100 BARRACKS RD, Charlottesville, VA",38.052715,-78.499043,1,range_interpolation,2100,Barracks Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1500 HIGH ST, Charlottesville, VA",38.03264,-78.462739,0.9,range_interpolation,1500,State Rte 20,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1100 MILLMONT ST, Charlottesville, VA",38.052642,-78.502484,1,range_interpolation,1100,Millmont St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"600 MARKET ST, Charlottesville, VA",38.030267,-78.477549,0.8,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"400 4TH ST NW, Charlottesville, VA",38.033577,-78.485453,1,range_interpolation,400,4th St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"100 BURNET ST, Charlottesville, VA",38.02393,-78.487254,1,rooftop,100,Burnet St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"NA MONTICELLO AVE / BOLLING AVE, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"1200 WERTLAND ST, Charlottesville, VA",38.034171,-78.496505,1,rooftop,1200,Wertland St,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"400 MONROE LN, Charlottesville, VA",38.031716,-78.50267,1,rooftop,400,Monroe Ln,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"1900 EMMET ST, Charlottesville, VA",38.060855,-78.492224,0.9,range_interpolation,1900,Emmet St N,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"2400 ARLINGTON BLVD, Charlottesville, VA",38.049739,-78.507346,1,rooftop,2400,Arlington Blvd,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"1600 EMMET ST N, Charlottesville, VA",38.057817,-78.493732,1,rooftop,1600,Emmet St N,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"400 RIDGE MCINTIRE RD, Charlottesville, VA",38.03264,-78.484434,1,range_interpolation,400,Ridge Mcintire Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"800 HARDY DR, Charlottesville, VA",38.033559,-78.490241,1,range_interpolation,800,Hardy Dr,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"2400 ARLINGTON BLVD, Charlottesville, VA",38.049739,-78.507346,1,rooftop,2400,Arlington Blvd,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"1600 6TH ST SE, Charlottesville, VA",38.016682,-78.485939,1,rooftop,1600,6th St SE,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"300 10TH ST NW, Charlottesville, VA",38.03523,-78.493175,1,rooftop,300,10th St NW,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"1300 CARLTON AVE, Charlottesville, VA",38.022084,-78.469217,1,rooftop,1300,Carlton Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"900 MCINTIRE RD, Charlottesville, VA",38.026588,-78.48045,0.33,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"1500 UNIVERSITY AVE, Charlottesville, VA",38.034988,-78.500296,0.72,nearest_rooftop_match,1501,University Ave,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"300 MAIN ST, Charlottesville, VA",38.030167,-78.485534,0.9,rooftop,300,W Main St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"300 RIDGE ST, Charlottesville, VA",38.028362,-78.485648,1,rooftop,300,Ridge St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"700 CARGIL LN, Charlottesville, VA",38.037122,-78.473965,1,range_interpolation,700,Cargil Ln,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"800 CHERRY AVE, Charlottesville, VA",38.028394,-78.4925,1,range_interpolation,800,Cherry Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"200 WATER ST, Charlottesville, VA",38.02935,-78.480554,0.9,rooftop,200,E Water St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"200 RIDGE MCINTIRE RD, Charlottesville, VA",38.031294,-78.484883,1,range_interpolation,200,Ridge Mcintire Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"NA GARRETT ST / 2ND ST SE, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"900 RIVER RD, Charlottesville, VA",38.035852,-78.457354,1,rooftop,900,River Rd,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"200 15TH ST NW, Charlottesville, VA",38.035162,-78.499549,1,rooftop,200,15th St NW,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"2400 FONTAINE AVE, Charlottesville, VA",38.025784,-78.518964,1,rooftop,2400,Fontaine Ave,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"700 6TH ST SE, Charlottesville, VA",38.025291,-78.480685,1,range_interpolation,700,6th St SE,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"100 CHANCELLOR ST, Charlottesville, VA",38.035846,-78.50148,1,range_interpolation,100,Chancellor St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1400 WESTWOOD RD, Charlottesville, VA",38.044993,-78.479702,1,range_interpolation,1400,Westwood Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1400 WESTWOOD RD, Charlottesville, VA",38.044993,-78.479702,1,range_interpolation,1400,Westwood Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"300 SPRUCE ST, Charlottesville, VA",38.025191,-78.471217,1,range_interpolation,300,Spruce St,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"NA HAMPTON ST / CARLTON RD, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 LEXINGTON AVE, Charlottesville, VA",38.033988,-78.471666,1,rooftop,600,Lexington Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"600 9TH ST SW, Charlottesville, VA",38.026937,-78.494957,1,rooftop,600,9th St SW,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"200 7TH ST SW, Charlottesville, VA",38.031006,-78.489927,1,range_interpolation,200,7th St SW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"400 250 BYPASS, Charlottesville, VA",38.045382,-78.477166,0.67,nearest_rooftop_match,425,250th Byp,,,Charlottesville,VA,Albemarle County,22901,US,Virginia Geographic Information Network (VGIN)
"200 2ND ST NW, Charlottesville, VA",38.031608,-78.481893,1,range_interpolation,200,2nd St NW,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"NA PRESTON AVE / 4TH ST NW, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"1500 UNIVERSITY AVE, Charlottesville, VA",38.034988,-78.500296,0.72,nearest_rooftop_match,1501,University Ave,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"1500 UNIVERSITY AVE, Charlottesville, VA",38.034988,-78.500296,0.72,nearest_rooftop_match,1501,University Ave,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"300 15TH ST NW, Charlottesville, VA",38.036158,-78.499392,1,range_interpolation,300,15th St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"800 MAIN ST, Charlottesville, VA",38.031848,-78.490814,0.9,range_interpolation,800,W Main St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"400 GARRETT ST, Charlottesville, VA",38.027754,-78.481638,1,rooftop,400,Garrett St,,,Charlottesville,VA,Albemarle County,22902,US,Virginia Geographic Information Network (VGIN)
"1000 CHERRY AVE, Charlottesville, VA",38.026722,-78.497519,1,rooftop,1000,Cherry Ave,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"1800 WINSTON RD, Charlottesville, VA",38.044541,-78.497174,1,range_interpolation,1800,Winston Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1100 SEMINOLE TRL, Charlottesville, VA",38.066776,-78.49006,0.76,nearest_rooftop_match,1070,Seminole Trl,,,Charlottesville,VA,Albemarle County,22901,US,Virginia Geographic Information Network (VGIN)
"600 RUGBY RD, Charlottesville, VA",38.041804,-78.499982,1,rooftop,600,Rugby Rd,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"300 RIDGE ST, Charlottesville, VA",38.028362,-78.485648,1,rooftop,300,Ridge St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"1200 E MARKET ST, Charlottesville, VA",38.026633,-78.46845,1,rooftop,1200,E Market St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"NA 13TH ST NW @ MAIN ST, Charlottesville, VA",38.033369,-78.498297,0.8,intersection,,13th St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"800 W MAIN ST, Charlottesville, VA",38.031848,-78.490814,1,range_interpolation,800,W Main St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"900 1ST ST, Charlottesville, VA",38.023473,-78.485705,1,range_interpolation,900,1st St,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1200 GRADY AVE, Charlottesville, VA",38.039578,-78.494309,1,range_interpolation,1200,Grady Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"200 MAIN ST, Charlottesville, VA",38.030748,-78.482695,0.9,rooftop,200,W Main St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"1000 SEMINOLE, Charlottesville, VA",38.063429,-78.490567,0.5,range_interpolation,1000,US Hwy 29,,,Charlottesville,VA,Albemarle County,22909,US,TIGER/Line® dataset from the US Census Bureau
"200 E WATER ST, Charlottesville, VA",38.02935,-78.480554,1,rooftop,200,E Water St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"400 250 BYPASS, Charlottesville, VA",38.045382,-78.477166,0.67,nearest_rooftop_match,425,250th Byp,,,Charlottesville,VA,Albemarle County,22901,US,Virginia Geographic Information Network (VGIN)
"200 E MARKET ST, Charlottesville, VA",38.031121,-78.480304,1,rooftop,200,E Market St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"400 E MAIN ST, Charlottesville, VA",38.029803,-78.479272,1,rooftop,400,E Main St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"600 MARKET ST, Charlottesville, VA",38.030267,-78.477549,0.8,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 MARKET ST, Charlottesville, VA",38.030267,-78.477549,0.8,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1200 PARK ST, Charlottesville, VA",38.046044,-78.469881,1,rooftop,1200,Park St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"400 GARRETT ST, Charlottesville, VA",38.027754,-78.481638,1,rooftop,400,Garrett St,,,Charlottesville,VA,Albemarle County,22902,US,Virginia Geographic Information Network (VGIN)
"400 CAROLINE AVE, Charlottesville, VA",38.028653,-78.465505,0.9,range_interpolation,400,Caroline Ave,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1000 5TH ST SW, Charlottesville, VA",38.020689,-78.494558,1,range_interpolation,1000,State Rte 631,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"400 GARRETT ST, Charlottesville, VA",38.027754,-78.481638,1,rooftop,400,Garrett St,,,Charlottesville,VA,Albemarle County,22902,US,Virginia Geographic Information Network (VGIN)
"800 HARDY DR, Charlottesville, VA",38.033559,-78.490241,1,range_interpolation,800,Hardy Dr,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1400 UNIVERSITY AVE, Charlottesville, VA",38.033951,-78.49996,1,rooftop,1400,University Ave,,,Charlottesville,VA,Albemarle County,22903,US,Albemarle
"1600 CHERRY AVE, Charlottesville, VA",38.023922,-78.506549,1,range_interpolation,1600,Cherry Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"500 1ST ST S, Charlottesville, VA",38.026837,-78.483051,1,rooftop,500,1st St S,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"200 E WATER ST, Charlottesville, VA",38.02935,-78.480554,1,rooftop,200,E Water St,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"400 E MARKET ST, Charlottesville, VA",38.030675,-78.478873,1,range_interpolation,400,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1200 W MAIN ST, Charlottesville, VA",38.032645,-78.496684,1,rooftop,1200,W Main St,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"1500 SHORT 18TH ST, Charlottesville, VA",38.025787,-78.460746,1,rooftop,1500,Short 18th St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"800 ST CLAIR AVE, Charlottesville, VA",38.035108,-78.465853,0.82,nearest_rooftop_match,802,St Clair Ave,,,Charlottesville,VA,Albemarle County,22902,US,Virginia Geographic Information Network (VGIN)
"1100 MERIWETHER ST, Charlottesville, VA",38.030915,-78.469021,1,range_interpolation,1100,Meriwether St,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"200 BURNET ST, Charlottesville, VA",38.025079,-78.487264,1,rooftop,200,Burnet St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"600 DICE ST, Charlottesville, VA",38.029163,-78.489832,1,rooftop,600,Dice St,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"300 RIVERSIDE AVE, Charlottesville, VA",38.02387,-78.455313,1,rooftop,300,Riverside Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"1500 GREEN ST, Charlottesville, VA",38.016703,-78.480816,1,rooftop,1500,Green St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"1400 E HIGH ST, Charlottesville, VA",38.03229,-78.463473,1,range_interpolation,1400,High St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"900 5TH ST SW, Charlottesville, VA",38.021234,-78.493889,1,range_interpolation,900,5th St SW,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"700 PROSPECT AVE, Charlottesville, VA",38.024646,-78.494399,1,rooftop,700,Prospect Ave,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
